"소재지(시군구)별(1)",소재지(시군구)별(2),2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"소재지(시군구)별(1)",소재지(시군구)별(2),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%),전체인구(A) (명),용도지역기준 (명),용도지역기준 (명),행정구역기준 (명),행정구역기준 (명),도시지역 인구비율 (%),도시지역 인구비율 (%)
"소재지(시군구)별(1)",소재지(시군구)별(2),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100),소계,도시인구(B),비도시인구(C=A-B),도시인구(D),농촌인구(E=A-D),용도지역 인구기준(B/A*100),행정구역 인구기준(D/A*100)
"대구광역시",소계,2418346,2413450,4896,2393409,24937,99.80,98.97,2385412,2380498,4914,2355083,30329,99.79,98.73,2363691,2359056,4635,2332955,30736,99.80,98.70,2374960,2352173,22787,2329979,44981,99.04,98.11,2363629,2341820,21809,2319615,44014,99.08,98.14
"대구광역시",중구,76547,76547,0,76547,0,100.00,100.00,74791,74791,0,74791,0,100.00,100.00,80199,80199,0,80199,0,100.00,100.00,89064,89064,0,89064,0,100.00,100.00,97711,97711,0,97711,0,100.00,100.00
"대구광역시",동구,341920,337050,4870,341920,0,98.58,100.00,341436,336553,4883,341436,0,98.57,100.00,339530,334909,4621,339530,0,98.64,100.00,342813,338372,4441,342813,0,98.70,100.00,342339,338044,4295,342339,0,98.75,100.00
"대구광역시",서구,170700,170700,0,170700,0,100.00,100.00,164528,164528,0,164528,0,100.00,100.00,159827,159827,0,159827,0,100.00,100.00,164088,164088,0,164088,0,100.00,100.00,163135,163135,0,163135,0,100.00,100.00
"대구광역시",남구,146632,146632,0,146632,0,100.00,100.00,143175,143175,0,143175,0,100.00,100.00,141519,141519,0,141519,0,100.00,100.00,139187,139187,0,139187,0,100.00,100.00,136263,136263,0,136263,0,100.00,100.00
"대구광역시",북구,440263,440263,0,440263,0,100.00,100.00,437008,437008,0,437008,0,100.00,100.00,430912,430912,0,430912,0,100.00,100.00,419624,419624,0,419624,0,100.00,100.00,413010,413010,0,413010,0,100.00,100.00
"대구광역시",수성구,424314,424314,0,424314,0,100.00,100.00,417097,417097,0,417097,0,100.00,100.00,411553,411553,0,411553,0,100.00,100.00,407331,407331,0,407331,0,100.00,100.00,409107,409107,0,409107,0,100.00,100.00
"대구광역시",달서구,558631,558631,0,558631,0,100.00,100.00,544926,544926,0,544926,0,100.00,100.00,536989,536989,0,536989,0,100.00,100.00,527781,527781,0,527781,0,100.00,100.00,522021,522021,0,522021,0,100.00,100.00
"대구광역시",달성군,259339,259313,26,234402,24937,99.99,90.38,262451,262420,31,232122,30329,99.99,88.44,263162,263148,14,232426,30736,99.99,88.32,262084,262041,43,232022,30062,99.98,88.53,257580,257505,75,228226,29354,99.97,88.60
"대구광역시",군위군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22988,4685,18303,8069,14919,20.38,35.1,22463,5024,17439,7803,14660,22.37,34.74
