±âÁØ³âµµ,ÇàÁ¤±¸¿ªÄÚµå,Åë°èÇ×¸ñ,Åë°è°ª
2023,11070680,ga_sd_002,2738
2023,11070680,ga_sd_003,215
2023,11070680,ga_sd_005,3102
2023,11070680,ga_sd_006,136
2023,11070690,ga_sd_001,2769
2023,11070690,ga_sd_002,7273
2023,11070690,ga_sd_003,672
2023,11070690,ga_sd_004,N/A
2023,11070690,ga_sd_005,3061
2023,11070690,ga_sd_006,196
2023,11070700,ga_sd_001,1590
2023,11070700,ga_sd_002,3739
2023,11070700,ga_sd_003,217
2023,11070700,ga_sd_004,N/A
2023,11070700,ga_sd_005,2753
2023,11070700,ga_sd_006,187
2023,11070710,ga_sd_001,2581
2023,11070710,ga_sd_002,5326
2023,11070710,ga_sd_003,413
2023,11070710,ga_sd_004,N/A
2023,11070710,ga_sd_005,7536
2023,11070710,ga_sd_006,393
2023,11070720,ga_sd_001,1976
2023,11070720,ga_sd_002,4096
2023,11070720,ga_sd_003,325
2023,11070720,ga_sd_004,N/A
2023,11070720,ga_sd_005,4980
2023,11070720,ga_sd_006,241
2023,11070730,ga_sd_001,2693
2023,11070730,ga_sd_002,6021
2023,11070730,ga_sd_003,481
2023,11070730,ga_sd_004,N/A
2023,11070730,ga_sd_005,6450
2023,11070730,ga_sd_006,336
2023,11080580,ga_sd_001,1143
2023,11080580,ga_sd_002,2676
2023,11080580,ga_sd_003,210
2023,11080580,ga_sd_004,N/A
2023,11080580,ga_sd_005,1689
2023,11080580,ga_sd_006,110
2023,11080590,ga_sd_001,1583
2023,11080590,ga_sd_002,4584
2023,11080590,ga_sd_003,365
2023,11080590,ga_sd_004,N/A
2023,11080590,ga_sd_005,1434
2023,11080590,ga_sd_006,139
2023,11080600,ga_sd_001,926
2023,11080600,ga_sd_002,1610
2023,11080600,ga_sd_003,142
2023,11080600,ga_sd_004,N/A
2023,11080600,ga_sd_005,6741
2023,11080600,ga_sd_006,261
2023,11080610,ga_sd_001,1197
2023,11080610,ga_sd_002,2634
2023,11080610,ga_sd_003,198
2023,11080610,ga_sd_005,3235
2023,11080610,ga_sd_006,253
2023,11080620,ga_sd_001,1222
2023,11080620,ga_sd_002,3355
2023,11080620,ga_sd_003,325
2023,11080620,ga_sd_004,N/A
2023,11080620,ga_sd_005,2072
2023,11080620,ga_sd_006,138
2023,11080630,ga_sd_001,1744
2023,11080630,ga_sd_002,4136
2023,11080630,ga_sd_003,374
2023,11080630,ga_sd_004,N/A
2023,11080630,ga_sd_005,2752
2023,11080630,ga_sd_006,204
2023,11080640,ga_sd_001,1079
2023,11080640,ga_sd_002,2038
2023,11080640,ga_sd_003,226
2023,11080640,ga_sd_004,N/A
2023,11080640,ga_sd_005,3861
2023,11080640,ga_sd_006,308
2023,11080650,ga_sd_001,1895
2023,11080650,ga_sd_002,4422
2023,11080650,ga_sd_003,343
2023,11080650,ga_sd_004,N/A
2023,11080650,ga_sd_005,3212
2023,11080650,ga_sd_006,210
2023,11080660,ga_sd_001,1954
2023,11080660,ga_sd_002,7253
2023,11080660,ga_sd_003,492
2023,11080660,ga_sd_004,N/A
2023,11080660,ga_sd_005,2062
2023,11080660,ga_sd_006,133
2023,11080680,ga_sd_001,1415
2023,11080680,ga_sd_002,4301
2023,11080680,ga_sd_003,296
2023,11080680,ga_sd_004,N/A
2023,11080680,ga_sd_005,2033
2023,11080680,ga_sd_006,180
2023,11080710,ga_sd_001,1906
2023,11080710,ga_sd_002,4864
2023,11080710,ga_sd_003,401
2023,11080710,ga_sd_004,N/A
2023,11080710,ga_sd_005,2687
2023,11080710,ga_sd_006,161
2023,11080720,ga_sd_001,1412
2023,11080720,ga_sd_002,3018
2023,11080720,ga_sd_003,262
2023,11080720,ga_sd_004,N/A
2023,11080720,ga_sd_005,4267
2023,11080720,ga_sd_006,159
2023,11080760,ga_sd_001,1586
2023,11080760,ga_sd_002,4454
2023,11080760,ga_sd_003,314
2023,11080760,ga_sd_004,N/A
2023,11080760,ga_sd_005,3138
2023,11080760,ga_sd_006,210
2023,11080770,ga_sd_001,1069
2023,11080770,ga_sd_002,2241
2023,11080770,ga_sd_003,187
2023,11080770,ga_sd_004,N/A
2023,11080770,ga_sd_005,2341
2023,11080770,ga_sd_006,140
2023,11080780,ga_sd_001,1028
2023,11080780,ga_sd_002,2983
2023,11080780,ga_sd_003,192
2023,11080780,ga_sd_004,N/A
2023,11080780,ga_sd_005,1721
2023,11080780,ga_sd_006,116
2023,11080810,ga_sd_001,1229
2023,11080810,ga_sd_002,2307
2023,11080810,ga_sd_003,252
2023,11080810,ga_sd_004,N/A
2023,11080810,ga_sd_005,3447
