기준연도,격자코드,통계항목,통계값
2023,11230600,to_em_020,7798
2023,11230630,to_em_020,32608
2023,11230640,to_em_020,171515
2023,11230650,to_em_020,42557
2023,11230660,to_em_020,19183
2023,11230670,to_em_020,21716
2023,11230680,to_em_020,1116
2023,11230710,to_em_020,10653
2023,11230720,to_em_020,10089
2023,11230730,to_em_020,5804
2023,11230750,to_em_020,17682
2023,11230760,to_em_020,9536
2023,11230770,to_em_020,38685
2023,11230780,to_em_020,43007
2023,11230790,to_em_020,58795
2023,11230800,to_em_020,4240
2023,11240510,to_em_020,2105
2023,11240520,to_em_020,16221
2023,11240530,to_em_020,3457
2023,11240540,to_em_020,4829
2023,11240550,to_em_020,2867
2023,11240560,to_em_020,4307
2023,11240570,to_em_020,7796
2023,11240580,to_em_020,22550
2023,11240590,to_em_020,5009
2023,11240600,to_em_020,18895
2023,11240610,to_em_020,13205
2023,11240620,to_em_020,3904
2023,11240630,to_em_020,14722
2023,11240640,to_em_020,10704
2023,11240650,to_em_020,27038
2023,11240660,to_em_020,12851
2023,11240670,to_em_020,11767
2023,11240680,to_em_020,7514
2023,11240690,to_em_020,97117
2023,11240710,to_em_020,22363
2023,11240750,to_em_020,1645
2023,11240770,to_em_020,63129
2023,11240780,to_em_020,1213
2023,11240790,to_em_020,3929
2023,11240800,to_em_020,8305
2023,11240810,to_em_020,10313
2023,11240820,to_em_020,6902
2023,11250530,to_em_020,7309
2023,11250540,to_em_020,5589
2023,11250550,to_em_020,2811
2023,11250560,to_em_020,5860
2023,11250580,to_em_020,3514
2023,11250590,to_em_020,2782
2023,11250610,to_em_020,5465
2023,11250630,to_em_020,9135
2023,11250650,to_em_020,19343
2023,11250660,to_em_020,6560
2023,11250670,to_em_020,9030
2023,11250700,to_em_020,205
2023,11250710,to_em_020,9432
2023,11250720,to_em_020,6285
2023,11250730,to_em_020,14701
2023,11250740,to_em_020,19527
2023,11250750,to_em_020,4894
2023,11250760,to_em_020,7003
2023,11250770,to_em_020,17923
2023,21010510,to_em_020,38659
2023,21010520,to_em_020,3337
2023,21010530,to_em_020,3602
2023,21010540,to_em_020,2913
2023,21010560,to_em_020,4672
2023,21010570,to_em_020,4327
2023,21010580,to_em_020,5917
2023,21010590,to_em_020,2494
2023,21010600,to_em_020,1579
2023,21020510,to_em_020,1106
2023,21020520,to_em_020,1553
2023,21020530,to_em_020,4712
2023,21020540,to_em_020,3140
2023,21020560,to_em_020,1845
2023,21020570,to_em_020,1587
2023,21020590,to_em_020,4380
2023,21020610,to_em_020,4991
2023,21020630,to_em_020,451
2023,21020640,to_em_020,6067
2023,21020650,to_em_020,2055
2023,21020680,to_em_020,11289
2023,21020690,to_em_020,1937
2023,21030510,to_em_020,8972
2023,21030520,to_em_020,2677
2023,21030530,to_em_020,24491
2023,21030550,to_em_020,1268
2023,21030560,to_em_020,1471
2023,21030570,to_em_020,6626
2023,21030590,to_em_020,550
2023,21030600,to_em_020,863
2023,21030660,to_em_020,20607
2023,21030680,to_em_020,2615
2023,21030700,to_em_020,2948
2023,21030710,to_em_020,3055
2023,21040530,to_em_020,11096
2023,21040540,to_em_020,1652
2023,21040550,to_em_020,1447
2023,21040590,to_em_020,5284
