iter	Passed	Remaining
700	79307	146962
701	79430	146867
702	79553	146771
703	79681	146686
704	79803	146589
705	79925	146491
706	80049	146398
707	80177	146312
708	80309	146232
709	80435	146143
710	80560	146050
711	80682	145953
712	80797	145843
713	80913	145735
714	81035	145636
715	81159	145542
716	81286	145453
717	81406	145353
718	81530	145257
719	81652	145159
720	81769	145052
721	81890	144952
722	82013	144857
723	82134	144756
724	82263	144671
725	82383	144568
726	82499	144459
727	82621	144360
728	82742	144259
729	82861	144155
730	82979	144051
731	83105	143957
732	83227	143860
733	83355	143771
734	83477	143671
735	83599	143572
736	83715	143463
737	83841	143370
738	83959	143264
739	84082	143167
740	84203	143065
741	84330	142976
742	84454	142879
743	84572	142772
744	84699	142682
745	84814	142569
746	84934	142466
747	85053	142362
748	85175	142263
749	85301	142168
750	85434	142088
751	85556	141987
752	85678	141886
753	85806	141797
754	85935	141707
755	86061	141614
756	86191	141526
757	86308	141417
758	86433	141322
759	86557	141225
760	86677	141120
761	86797	141016
762	86926	140928
763	87051	140832
764	87171	140728
765	87290	140621
766	87416	140526
767	87530	140413
768	87655	140317
769	87780	140220
770	87900	140116
771	88021	140013
772	88144	139914
773	88266	139811
774	88392	139716
775	88519	139624
776	88645	139528
777	88772	139435
778	88900	139342
779	89023	139241
780	89140	139132
781	89260	139027
782	89381	138923
783	89515	138839
784	89636	138736
785	89762	138640
786	89886	138541
787	90015	138449
788	90141	138354
789	90268	138259
790	90389	138155
791	90517	138061
792	90641	137962
793	90768	137867
794	90896	137774
795	91017	137669
796	91144	137573
797	91260	137462
798	91375	137349
799	91494	137242
800	91609	137128
801	91730	137024
802	91852	136920
803	91974	136817
804	92097	136715
805	92220	136614
806	92337	136503
807	92461	136403
808	92578	136293
809	92705	136196
810	92831	136099
811	92950	135991
812	93072	135887
813	93194	135784
814	93311	135673
815	93427	135561
816	93556	135467
817	93672	135355
818	93791	135248
819	93910	135139
820	94032	135035
821	94150	134925
822	94271	134820
823	94396	134721
824	94521	134620
825	94639	134511
826	94763	134409
827	94888	134310
828	95002	134195
829	95137	134109
830	95256	134000
831	95369	133883
832	95496	133786
833	95624	133691
834	95749	133590
835	95873	133489
836	95994	133382
837	96117	133280
838	96247	133186
839	96373	133087
840	96496	132984
841	96619	132880
842	96743	132778
843	96862	132669
844	96983	132563
845	97105	132458
846	97232	132359
847	97361	132264
848	97484	132161
849	97608	132058
850	97736	131961
851	97860	131858
852	97990	131763
853	98116	131664
854	98244	131566
855	98366	131461
856	98487	131354
857	98606	131245
858	98723	131132
859	98842	131024
860	98968	130923
861	99095	130824
862	99228	130732
863	99346	130622
864	99464	130511
865	99592	130413
866	99714	130308
867	99836	130201
868	99957	130093
869	100078	129987
870	100204	129885
871	100323	129776
872	100442	129666
873	100566	129562
874	100683	129450
875	100811	129351
876	100940	129254
877	101068	129155
878	101193	129052
879	101323	128957
880	101445	128850
881	101563	128739
882	101690	128639
883	101830	128555
884	101959	128457
885	102081	128350
886	102201	128241
887	102326	128139
888	102446	128029
889	102565	127918
890	102685	127809
891	102801	127695
892	102921	127585
893	103045	127481
894	103166	127373
895	103290	127268
896	103408	127157
897	103536	127057
898	103664	126956
899	103784	126848
900	103910	126745
901	104028	126633
902	104148	126523
903	104276	126423
904	104401	126319
905	104525	126214
906	104652	126113
907	104778	126010
908	104905	125910
909	105028	125803
910	105160	125707
911	105282	125600
912	105404	125492
913	105522	125380
914	105644	125272
915	105764	125162
916	105893	125063
917	106020	124960
918	106150	124862
919	106276	124759
920	106401	124654
921	106524	124548
922	106649	124443
923	106776	124341
924	106900	124235
925	107031	124137
926	107153	124030
927	107280	123927
928	107401	123818
929	107522	123708
930	107650	123607
931	107780	123507
932	107906	123404
933	108030	123298
934	108157	123195
935	108277	123085
936	108402	122979
937	108528	122876
938	108658	122776
939	108781	122668
940	108903	122560
941	109029	122455
942	109150	122346
943	109276	122241
944	109415	122152
945	109539	122045
946	109663	121938
947	109790	121835
948	109919	121733
949	110044	121627
950	110176	121530
951	110302	121425
952	110425	121317
